[server] hello eberynyan
[server] i am the server
[server] i server
[server] people recieve
[server] everyone ask where is the server
[server] no one ask how is the server
[server] or ever....
[server] anyways
[server] i offer my service
[server] wink
[server] if want my service request
[server] i send data 
[server] recieved data something
[server] sent data something
[server] recieved data something
[server] sent data something
[server] recieved data something
[server] sent data something
[server] recieved data something
[server] sent data something
[server] recieved data something
[server] sent data something
[server] recieved data something
[server] sent data something
[server] main chala sone 
[server] goodbye
